ID,Month,Day,Year,Site,Sample label,Latitude,Longitude,Snow water equivalent (cm)
126,3,4,2013,BF,BF_SWE6,44.03933333,-121.8980333,72
127,3,29,2013,BF,BF_SWE6,44.03933333,-121.8980333,65
128,4,15,2013,BF,BF_SWE6,44.03933333,-121.8980333,44
129,5,4,2013,BF,BF_SWE6,44.03933333,-121.8980333,13
130,5,15,2013,BF,BF_SWE6,44.03933333,-121.8980333,0
131,1,7,2014,BF,BF_SWE6,44.03933333,-121.8980333,0
132,2,1,2014,BF,BF_SWE6,44.03933333,-121.8980333,NA
133,3,3,2014,BF,BF_SWE6,44.03933333,-121.8980333,37
134,3,30,2014,BF,BF_SWE6,44.03933333,-121.8980333,37
135,4,16,2014,BF,BF_SWE6,44.03933333,-121.8980333,20
136,4,30,2014,BF,BF_SWE6,44.03933333,-121.8980333,25
137,5,15,2014,BF,BF_SWE6,44.03933333,-121.8980333,0
138,6,4,2014,BF,BF_SWE6,44.03933333,-121.8980333,0
139,1,1,2012,UF,UF_SWE1,44.04426667,-121.9019,58
140,2,1,2012,UF,UF_SWE1,44.04426667,-121.9019,43
141,3,1,2012,UF,UF_SWE1,44.04426667,-121.9019,46
142,4,1,2012,UF,UF_SWE1,44.04426667,-121.9019,83
143,4,15,2012,UF,UF_SWE1,44.04426667,-121.9019,108
144,5,1,2012,UF,UF_SWE1,44.04426667,-121.9019,99
145,5,14,2012,UF,UF_SWE1,44.04426667,-121.9019,79
146,6,1,2012,UF,UF_SWE1,44.04426667,-121.9019,56
147,1,6,2013,UF,UF_SWE1,44.04426667,-121.9019,56
148,2,5,2013,UF,UF_SWE1,44.04426667,-121.9019,56
149,3,4,2013,UF,UF_SWE1,44.04426667,-121.9019,75
150,3,29,2013,UF,UF_SWE1,44.04426667,-121.9019,77
151,4,15,2013,UF,UF_SWE1,44.04426667,-121.9019,72
152,5,4,2013,UF,UF_SWE1,44.04426667,-121.9019,10
153,5,15,2013,UF,UF_SWE1,44.04426667,-121.9019,13
154,1,7,2014,UF,UF_SWE1,44.04426667,-121.9019,0
155,2,1,2014,UF,UF_SWE1,44.04426667,-121.9019,15
156,3,3,2014,UF,UF_SWE1,44.04426667,-121.9019,52
157,3,30,2014,UF,UF_SWE1,44.04426667,-121.9019,65
158,4,16,2014,UF,UF_SWE1,44.04426667,-121.9019,43
159,4,30,2014,UF,UF_SWE1,44.04426667,-121.9019,41
160,5,15,2014,UF,UF_SWE1,44.04426667,-121.9019,38
161,6,4,2014,UF,UF_SWE1,44.04426667,-121.9019,0
162,1,1,2012,UF,UF_SWE2,44.0444,-121.9006,64
163,2,1,2012,UF,UF_SWE2,44.0444,-121.9006,43
164,3,1,2012,UF,UF_SWE2,44.0444,-121.9006,33
165,4,1,2012,UF,UF_SWE2,44.0444,-121.9006,121
166,4,15,2012,UF,UF_SWE2,44.0444,-121.9006,70
167,5,1,2012,UF,UF_SWE2,44.0444,-121.9006,86
168,5,14,2012,UF,UF_SWE2,44.0444,-121.9006,84
169,6,1,2012,UF,UF_SWE2,44.0444,-121.9006,84
170,1,6,2013,UF,UF_SWE2,44.0444,-121.9006,28
171,2,5,2013,UF,UF_SWE2,44.0444,-121.9006,43
172,3,4,2013,UF,UF_SWE2,44.0444,-121.9006,69
173,3,29,2013,UF,UF_SWE2,44.0444,-121.9006,72
174,4,15,2013,UF,UF_SWE2,44.0444,-121.9006,77
175,5,4,2013,UF,UF_SWE2,44.0444,-121.9006,0
176,5,15,2013,UF,UF_SWE2,44.0444,-121.9006,3
177,1,7,2014,UF,UF_SWE2,44.0444,-121.9006,0
178,2,1,2014,UF,UF_SWE2,44.0444,-121.9006,10
179,3,3,2014,UF,UF_SWE2,44.0444,-121.9006,39
180,3,30,2014,UF,UF_SWE2,44.0444,-121.9006,60
181,4,16,2014,UF,UF_SWE2,44.0444,-121.9006,41
182,4,30,2014,UF,UF_SWE2,44.0444,-121.9006,25
183,5,15,2014,UF,UF_SWE2,44.0444,-121.9006,0
184,6,4,2014,UF,UF_SWE2,44.0444,-121.9006,0
185,1,1,2012,UF,UF_SWE3,44.04453333,-121.8996,25
186,2,1,2012,UF,UF_SWE3,44.04453333,-121.8996,43
187,3,1,2012,UF,UF_SWE3,44.04453333,-121.8996,58
188,4,1,2012,UF,UF_SWE3,44.04453333,-121.8996,57
189,4,15,2012,UF,UF_SWE3,44.04453333,-121.8996,85
190,5,1,2012,UF,UF_SWE3,44.04453333,-121.8996,81
191,5,14,2012,UF,UF_SWE3,44.04453333,-121.8996,34
192,6,1,2012,UF,UF_SWE3,44.04453333,-121.8996,86
193,1,6,2013,UF,UF_SWE3,44.04453333,-121.8996,43
194,2,5,2013,UF,UF_SWE3,44.04453333,-121.8996,69
195,3,4,2013,UF,UF_SWE3,44.04453333,-121.8996,102
196,3,29,2013,UF,UF_SWE3,44.04453333,-121.8996,57
197,4,15,2013,UF,UF_SWE3,44.04453333,-121.8996,77
198,5,4,2013,UF,UF_SWE3,44.04453333,-121.8996,10
199,5,15,2013,UF,UF_SWE3,44.04453333,-121.8996,13
200,1,7,2014,UF,UF_SWE3,44.04453333,-121.8996,0
201,2,1,2014,UF,UF_SWE3,44.04453333,-121.8996,13
202,3,3,2014,UF,UF_SWE3,44.04453333,-121.8996,47
203,3,30,2014,UF,UF_SWE3,44.04453333,-121.8996,62
204,4,16,2014,UF,UF_SWE3,44.04453333,-121.8996,41
205,4,30,2014,UF,UF_SWE3,44.04453333,-121.8996,0
206,5,15,2014,UF,UF_SWE3,44.04453333,-121.8996,20
207,6,4,2014,UF,UF_SWE3,44.04453333,-121.8996,0
208,1,1,2012,UF,UF_SWE4,44.04461667,-121.8985167,0
209,2,1,2012,UF,UF_SWE4,44.04461667,-121.8985167,0
210,3,1,2012,UF,UF_SWE4,44.04461667,-121.8985167,20
211,4,1,2012,UF,UF_SWE4,44.04461667,-121.8985167,98
212,4,15,2012,UF,UF_SWE4,44.04461667,-121.8985167,83
213,5,1,2012,UF,UF_SWE4,44.04461667,-121.8985167,97
214,5,14,2012,UF,UF_SWE4,44.04461667,-121.8985167,61
215,6,1,2012,UF,UF_SWE4,44.04461667,-121.8985167,61
216,1,6,2013,UF,UF_SWE4,44.04461667,-121.8985167,51
217,2,5,2013,UF,UF_SWE4,44.04461667,-121.8985167,56
218,3,4,2013,UF,UF_SWE4,44.04461667,-121.8985167,66
219,3,29,2013,UF,UF_SWE4,44.04461667,-121.8985167,97
220,4,15,2013,UF,UF_SWE4,44.04461667,-121.8985167,83
221,5,4,2013,UF,UF_SWE4,44.04461667,-121.8985167,13
222,5,15,2013,UF,UF_SWE4,44.04461667,-121.8985167,15
223,1,7,2014,UF,UF_SWE4,44.04461667,-121.8985167,0
224,2,1,2014,UF,UF_SWE4,44.04461667,-121.8985167,10
225,3,3,2014,UF,UF_SWE4,44.04461667,-121.8985167,57
226,3,30,2014,UF,UF_SWE4,44.04461667,-121.8985167,50
227,4,16,2014,UF,UF_SWE4,44.04461667,-121.8985167,61
228,4,30,2014,UF,UF_SWE4,44.04461667,-121.8985167,43
229,5,15,2014,UF,UF_SWE4,44.04461667,-121.8985167,17
230,6,4,2014,UF,UF_SWE4,44.04461667,-121.8985167,0
231,1,1,2012,UF,UF_SWE5,44.0446,-121.8974,0
232,2,1,2012,UF,UF_SWE5,44.0446,-121.8974,0
233,3,1,2012,UF,UF_SWE5,44.0446,-121.8974,0
234,4,1,2012,UF,UF_SWE5,44.0446,-121.8974,83
235,4,15,2012,UF,UF_SWE5,44.0446,-121.8974,72
236,5,1,2012,UF,UF_SWE5,44.0446,-121.8974,71
237,5,14,2012,UF,UF_SWE5,44.0446,-121.8974,89
238,6,1,2012,UF,UF_SWE5,44.0446,-121.8974,64
239,1,6,2013,UF,UF_SWE5,44.0446,-121.8974,33
240,2,5,2013,UF,UF_SWE5,44.0446,-121.8974,58
241,3,4,2013,UF,UF_SWE5,44.0446,-121.8974,50
242,3,29,2013,UF,UF_SWE5,44.0446,-121.8974,75
243,4,15,2013,UF,UF_SWE5,44.0446,-121.8974,60
244,5,4,2013,UF,UF_SWE5,44.0446,-121.8974,18
245,5,15,2013,UF,UF_SWE5,44.0446,-121.8974,20
246,1,7,2014,UF,UF_SWE5,44.0446,-121.8974,0
247,2,1,2014,UF,UF_SWE5,44.0446,-121.8974,10
248,3,3,2014,UF,UF_SWE5,44.0446,-121.8974,42
249,3,30,2014,UF,UF_SWE5,44.0446,-121.8974,46
250,4,16,2014,UF,UF_SWE5,44.0446,-121.8974,36
251,4,30,2014,UF,UF_SWE5,44.0446,-121.8974,33
252,5,15,2014,UF,UF_SWE5,44.0446,-121.8974,24
253,6,4,2014,UF,UF_SWE5,44.0446,-121.8974,0
254,1,1,2012,UF,UF_SWE6,44.04458333,-121.8964,0
255,2,1,2012,UF,UF_SWE6,44.04458333,-121.8964,0
256,3,1,2012,UF,UF_SWE6,44.04458333,-121.8964,76
257,4,1,2012,UF,UF_SWE6,44.04458333,-121.8964,100
258,4,15,2012,UF,UF_SWE6,44.04458333,-121.8964,108
259,5,1,2012,UF,UF_SWE6,44.04458333,-121.8964,86
260,5,14,2012,UF,UF_SWE6,44.04458333,-121.8964,89
261,6,1,2012,UF,UF_SWE6,44.04458333,-121.8964,81
262,1,6,2013,UF,UF_SWE6,44.04458333,-121.8964,30
263,2,5,2013,UF,UF_SWE6,44.04458333,-121.8964,46
264,3,4,2013,UF,UF_SWE6,44.04458333,-121.8964,75
265,3,29,2013,UF,UF_SWE6,44.04458333,-121.8964,39
266,4,15,2013,UF,UF_SWE6,44.04458333,-121.8964,65
267,5,4,2013,UF,UF_SWE6,44.04458333,-121.8964,0
268,5,15,2013,UF,UF_SWE6,44.04458333,-121.8964,0
269,1,7,2014,UF,UF_SWE6,44.04458333,-121.8964,0
270,2,1,2014,UF,UF_SWE6,44.04458333,-121.8964,9
271,3,3,2014,UF,UF_SWE6,44.04458333,-121.8964,53
272,3,30,2014,UF,UF_SWE6,44.04458333,-121.8964,70
273,4,16,2014,UF,UF_SWE6,44.04458333,-121.8964,58
274,4,30,2014,UF,UF_SWE6,44.04458333,-121.8964,28
275,5,15,2014,UF,UF_SWE6,44.04458333,-121.8964,25
276,6,4,2014,UF,UF_SWE6,44.04458333,-121.8964,0
